Zipcode,Median Age,Household Income,Per Capita Income,Employment rate,Has Starbucks
2452,30.2,78349,31988,0.541164725,N
2453,32.1,67382,34152,0.610821809,N
2458,40.6,95216,59071,0.556455783,N
2459,43.3,133801,71128,0.540978243,N
2460,41.2,102276,61686,0.579151006,N
2461,43.4,122283,61088,0.53833725,N
2462,53.4,83438,74279,0.44121813,N
2464,39.3,81771,51744,0.635561588,N
2465,43.1,139763,75857,0.561980639,N
2466,34.7,105893,47551,0.532564525,N
2467,23.4,115493,55288,0.477048328,N
2468,50.4,201731,86528,0.584962977,N
2472,38.4,87775,44700,0.647231929,N
2474,40.2,87225,48199,0.617428507,N
2476,43.7,95305,51709,0.564758132,N
2478,40.4,110633,56884,0.527308559,N
2481,37.1,180607,83035,0.455750848,N
2482,41.4,135089,63889,0.460990316,N
2492,42.9,137839,66190,0.492374944,N
2493,44.2,192563,105217,0.451118045,N
2494,43.4,104543,56326,0.55582391,N
2532,44.3,59250,33808,0.530947185,N
2534,53.3,96053,36703,0.612670409,N
2535,45.1,67500,42716,0.578332034,N
2536,48.3,61063,33741,0.509809964,N
2537,42.6,79180,32964,0.48346056,N
2538,35.6,48402,24790,0.505392912,N
2539,49.5,66711,38588,0.55235792,N
2540,56.5,59858,49489,0.424362871,N
2542,22.9,45107,16979,0.38961039,N
2543,49.7,66250,50348,0.535326087,N
2553,29.3,53125,33253,0.785714286,N
2554,39.9,85835,47658,0.607843137,N
2556,59.2,77661,46442,0.47826087,N
2557,44.7,69844,30190,0.529037914,N
2558,49,49121,31100,0.644056414,N
2559,53.6,59489,36281,0.534516765,N
2561,52.6,73750,32293,0.608974359,N
2562,45.9,62778,33670,0.501928211,N
2563,47.5,79578,38405,0.56281198,N
2564,41.5,59412,38888,0.797900262,N
2568,41.4,48935,30955,0.549687109,N
2571,46.7,56250,30679,0.550538249,N
2575,44.4,70963,30136,0.528538813,N
2576,41.8,79760,30900,0.610679214,N
2601,42.3,39454,24219,0.553719008,N
2630,56.4,61250,36804,0.378608613,N
2631,52.1,61397,35158,0.506659729,N
2632,50.1,67422,33787,0.517196569,N
2633,56.3,66516,46448,0.471820062,N
2635,50.5,78583,43999,0.496870343,N
2638,59.3,58750,37471,0.397615499,N
2639,45.8,46510,27757,0.532186106,N
2641,66.5,128576,55869,0.498591549,N
2642,56.7,58056,36116,0.540557024,N
2644,34.9,90540,28462,0.615797718,N
2645,48.8,62835,30999,0.510066407,N
2646,60.5,66771,43275,0.415210689,N
2647,66.1,146705,58517,0.441860465,N
2648,48.1,68260,41204,0.606697594,N
2649,49.1,63657,34717,0.520357143,N
2650,60.9,66932,48467,0.477905074,N
2652,52.9,52639,37742,0.628420124,N
2653,62.2,59938,42209,0.463891675,N
2655,54.9,72546,56395,0.398173979,N
2657,53.3,41140,45204,0.679487179,N
2659,59.4,51033,34619,0.508960573,N
2660,52.2,49024,30437,0.489863742,N
2663,34.9,21912,24332,0.876033058,N
2664,53.2,47873,31253,0.521450406,N
2666,61.5,61477,42750,0.516722408,N
2667,61.6,51908,39902,0.581805604,N
2668,47.5,80296,42993,0.588384755,N
2669,66,100109,41827,0.426540284,N
2670,61.3,49871,38015,0.366359447,N
2671,57.8,45769,52292,0.552132701,N
2672,57.3,205324,46733,0.866666667,N
2673,47,55204,32671,0.514333294,N
2675,60.3,61365,41238,0.429645027,N
2702,39.9,89833,31246,0.563170571,N
2703,39.4,67039,30978,0.568354054,N
2713,60.8,38333,26096,0.49122807,N
2715,39.4,86823,31251,0.536463224,N
2717,42.8,81150,32987,0.59251607,N
2718,40.5,80211,29144,0.585621494,N
2719,45.9,60326,30381,0.565446339,N
2720,40.2,41910,25090,0.533218656,N
2721,36.3,30180,19321,0.452354539,N
2723,37.3,28120,18980,0.463491397,N
2724,40.4,27390,18827,0.479873576,N
