,0,1,Zipcode,Another_Store_Present
8551,0.615,0.385,31558,0
17817,0.615,0.385,61849,0
22690,0.615,0.385,77453,0
17701,0.615,0.385,61528,0
15881,0.615,0.385,56201,0
9943,0.615,0.385,37210,0
330,0.615,0.385,1608,0
16354,0.62,0.38,57332,0
14074,0.62,0.38,50431,0
16912,0.62,0.38,58801,0
22059,0.62,0.38,75167,0
14837,0.62,0.38,53143,0
21452,0.62,0.38,73049,0
8288,0.62,0.38,30461,0
266,0.62,0.38,1451,0
8662,0.62,0.38,31906,0
13062,0.62,0.38,48003,0
23860,0.62,0.38,83025,0
23364,0.62,0.38,79749,0
12261,0.62,0.38,45644,0
17894,0.62,0.38,62028,0
2318,0.62,0.38,8244,0
12508,0.62,0.38,46303,0
16610,0.62,0.38,58064,0
5064,0.62,0.38,18076,0
1690,0.625,0.375,6107,0
453,0.625,0.375,2113,0
438,0.625,0.375,2054,0
21517,0.625,0.375,73170,0
23894,0.625,0.375,83232,0
23674,0.625,0.375,81224,0
12156,0.625,0.375,45306,0
2445,0.625,0.375,8825,0
1911,0.625,0.375,7006,0
15562,0.625,0.375,55376,0
12470,0.625,0.375,46147,0
8939,0.625,0.375,33033,0
17279,0.625,0.375,60072,0
26411,0.625,0.375,99401,0
16568,0.625,0.375,58005,0
1474,0.625,0.375,5401,0
21708,0.625,0.375,74008,0
5544,0.63,0.37,20670,0
21692,0.63,0.37,73932,0
22367,0.63,0.37,76247,0
3486,0.63,0.37,13676,0
17979,0.63,0.37,62249,0
18302,0.63,0.37,62887,0
5487,0.63,0.37,19979,0
1676,0.63,0.37,6084,0
12851,0.63,0.37,47396,0
22083,0.63,0.37,75249,0
21725,0.63,0.37,74034,0
2745,0.63,0.37,11951,0
5967,0.63,0.37,22923,0
20450,0.635,0.365,70039,0
23096,0.635,0.365,78753,0
19142,0.635,0.365,65570,0
25586,0.635,0.365,95951,0
16917,0.635,0.365,58838,0
3367,0.635,0.365,13363,0
2055,0.635,0.365,7512,0
11608,0.635,0.365,43467,0
13082,0.635,0.365,48045,0
21194,0.635,0.365,72442,0
7515,0.635,0.365,28325,0
649,0.635,0.365,2806,0
